data;gringos_comprados;gringos_vendidos;institucionais_comprados;institucionais_vendidos;bancos_comprados;bancos_vendidos
07/05/2018;216607;48718;174098;291008;83123;134413
08/05/2018;217585;51977;186969;292963;83248;144343
09/05/2018;231600;44029;180988;297645;89108;161783
10/05/2018;219275;54534;197022;304914;96848;158098
11/05/2018;223987;51787;196991;301741;93688;167058
14/05/2018;233837;55557;197415;298605;96648;174228
15/05/2018;226713;41067;194087;294638;80058;164293
16/05/2018;236893;38692;184099;300195;91232;167877
17/05/2018;257430;32669;183011;310350;99642;192714
18/05/2018;257173;38434;195912;307344;110767;209464
21/05/2018;267532;36646;204067;330546;124577;220344
22/05/2018;265104;37706;205268;330943;137294;229756
23/05/2018;261974;47421;212218;318568;131744;228261
24/05/2018;264452;47716;204131;314849;150254;243171
25/05/2018;268105;49881;217291;328356;165639;267166
28/05/2018;261470;47666;225870;324665;181841;292048
29/05/2018;280432;68910;264694;364227;203461;312688
30/05/2018;318651;84349;316770;418477;230306;360353
01/06/2018;266821;30274;171785;295790;103734;217262
04/06/2018;286115;39144;179508;296122;98889;233422
05/06/2018;323840;42502;182305;311621;90939;247657
06/06/2018;318811;44764;201383;318247;78145;239028
07/06/2018;330123;49871;223015;320159;90585;278228
08/06/2018;377269;45086;209989;366819;120638;308606
11/06/2018;399097;41054;228204;414414;129813;316516
12/06/2018;393256;48626;245201;424423;152593;335901
13/06/2018;391688;44731;263392;474086;158183;315526
14/06/2018;415296;53659;302747;484021;154767;355575
15/06/2018;437753;67837;331112;515420;174038;389986
18/06/2018;454783;67585;332553;525353;184163;405426
19/06/2018;447824;73248;339155;535453;200493;406701
20/06/2018;450125;71580;341566;546568;195495;398228
21/06/2018;455626;76850;354200;560063;209345;411083
22/06/2018;468220;83859;363606;570259;214655;420338
25/06/2018;465373;87269;360599;571365;214730;408353
26/06/2018;460425;99018;359597;576831;232638;404996
27/06/2018;483950;129292;397858;613538;233373;399106
28/06/2018;549198;197445;441547;643597;270860;450938
29/06/2018;564673;191924;446969;649830;274335;475753
02/07/2018;219190;92006;193596;258997;139705;200823
03/07/2018;214096;91446;191815;261012;149890;200908
04/07/2018;216647;86746;191438;255901;146195;211868
05/07/2018;231367;80646;193495;261733;134713;212341
06/07/2018;231643;84438;196384;259981;125593;207121
10/07/2018;235923;88043;196956;256663;126653;216976
11/07/2018;251640;84786;184335;249284;125851;229221
12/07/2018;239695;77293;187206;245183;124766;230201
13/07/2018;254345;71768;197487;260221;110231;232969
16/07/2018;274347;74890;198787;271843;100236;235132
17/07/2018;271992;72065;197559;267230;103261;238752
18/07/2018;273003;75255;203938;267380;86186;225667
19/07/2018;272344;68740;204698;271376;92376;234822
20/07/2018;258150;88330;215828;282953;106015;216020
23/07/2018;270204;97335;218182;282288;114035;226783
24/07/2018;268771;97594;217265;288824;125135;230568
25/07/2018;279885;115343;222671;301655;125390;222068
26/07/2018;283571;122373;224486;303666;137485;227888
27/07/2018;290684;150213;239941;331644;149650;208998
30/07/2018;373911;221850;292218;409801;252952;292900
31/07/2018;328617;190655;344621;407615;288333;369406
01/08/2018;216589;114705;274878;173362;90523;311903
02/08/2018;222714;111871;277774;178917;89538;315823
03/08/2018;221963;127326;277996;193478;113003;309443
06/08/2018;224538;124892;278183;193954;115548;317568
07/08/2018;230077;123850;300637;219549;114753;317693
08/08/2018;231216;123273;302144;216427;110143;319688
