data;codigo;tipo;moeda;compra;venda
23032023;220;A;USD;5,2626;5,2632
24032023;220;A;USD;5,2915;5,2921
27032023;220;A;USD;5,23;5,2306
28032023;220;A;USD;5,1727;5,1733
29032023;220;A;USD;5,1487;5,1493
30032023;220;A;USD;5,1248;5,1254
31032023;220;A;USD;5,0798;5,0804
3042023;220;A;USD;5,0631;5,0637
4042023;220;A;USD;5,0756;5,0762
5042023;220;A;USD;5,0441;5,0447
6042023;220;A;USD;5,0677;5,0683
10042023;220;A;USD;5,0828;5,0834
11042023;220;A;USD;5,0122;5,0128
12042023;220;A;USD;4,949;4,9496
13042023;220;A;USD;4,9091;4,9097
14042023;220;A;USD;4,9449;4,9455
17042023;220;A;USD;4,9415;4,9421
18042023;220;A;USD;4,9672;4,9678
19042023;220;A;USD;5,0461;5,0467
20042023;220;A;USD;5,0491;5,0497
24042023;220;A;USD;5,0589;5,0595
25042023;220;A;USD;5,0607;5,0613
26042023;220;A;USD;5,0579;5,0585
27042023;220;A;USD;5,0144;5,015
28042023;220;A;USD;5,0001;5,0007
2052023;220;A;USD;5,0329;5,0334
3052023;220;A;USD;5,0221;5,0227
4052023;220;A;USD;5,01;5,0106
5052023;220;A;USD;4,969;4,9696
8052023;220;A;USD;4,969;4,9696
9052023;220;A;USD;5,0001;5,0007
10052023;220;A;USD;4,9541;4,9547
11052023;220;A;USD;4,969;4,9696
12052023;220;A;USD;4,9228;4,9234
15052023;220;A;USD;4,9097;4,9103
16052023;220;A;USD;4,9116;4,9122
17052023;220;A;USD;4,9507;4,9513
18052023;220;A;USD;4,9641;4,9647
19052023;220;A;USD;4,9852;4,9858
22052023;220;A;USD;4,9674;4,968
23052023;220;A;USD;4,9668;4,9674
24052023;220;A;USD;4,9468;4,9474
25052023;220;A;USD;4,9984;4,999
26052023;220;A;USD;5,0108;5,0114
29052023;220;A;USD;4,9948;4,9954
30052023;220;A;USD;5,0587;5,0593
31052023;220;A;USD;5,0953;5,0959
1062023;220;A;USD;5,0344;5,035
2062023;220;A;USD;4,9552;4,9558
5062023;220;A;USD;4,923;4,9236
6062023;220;A;USD;4,9286;4,9292
7062023;220;A;USD;4,9113;4,9119
9062023;220;A;USD;4,8916;4,8922
12062023;220;A;USD;4,8826;4,8832
13062023;220;A;USD;4,8527;4,8533
14062023;220;A;USD;4,8456;4,8462
15062023;220;A;USD;4,8216;4,8222
16062023;220;A;USD;4,828;4,8286
19062023;220;A;USD;4,7797;4,7803
20062023;220;A;USD;4,7924;4,793
21062023;220;A;USD;4,7789;4,7795
22062023;220;A;USD;4,7744;4,775
23062023;220;A;USD;4,7793;4,7799
26062023;220;A;USD;4,7692;4,7698
27062023;220;A;USD;4,7897;4,7903
28062023;220;A;USD;4,8557;4,8563
29062023;220;A;USD;4,8578;4,8584
30062023;220;A;USD;4,8186;4,8192
3072023;220;A;USD;4,787;4,7876
4072023;220;A;USD;4,805;4,8056
5072023;220;A;USD;4,8571;4,8577
6072023;220;A;USD;4,8971;4,8977
7072023;220;A;USD;4,8793;4,8799
10072023;220;A;USD;4,8729;4,8735
11072023;220;A;USD;4,8943;4,8949
12072023;220;A;USD;4,8052;4,8058
13072023;220;A;USD;4,8032;4,8038
14072023;220;A;USD;4,7951;4,7957
17072023;220;A;USD;4,8296;4,8302
18072023;220;A;USD;4,8034;4,804
19072023;220;A;USD;4,7994;4,8
20072023;220;A;USD;4,7882;4,7888
21072023;220;A;USD;4,7726;4,7732
24072023;220;A;USD;4,7451;4,7457
25072023;220;A;USD;4,749;4,7496
26072023;220;A;USD;4,7362;4,7368
27072023;220;A;USD;4,7196;4,7202
28072023;220;A;USD;4,7247;4,7253
31072023;220;A;USD;4,7409;4,7415
1082023;220;A;USD;4,7746;4,7752
2082023;220;A;USD;4,8077;4,8083
3082023;220;A;USD;4,8791;4,8797
4082023;220;A;USD;4,8603;4,8609
7082023;220;A;USD;4,9004;4,901
8082023;220;A;USD;4,9211;4,9217
9082023;220;A;USD;4,9009;4,9015
10082023;220;A;USD;4,8512;4,8518
11082023;220;A;USD;4,8912;4,8918
14082023;220;A;USD;4,9475;4,9481
15082023;220;A;USD;4,9806;4,9812
16082023;220;A;USD;4,9765;4,9772
17082023;220;A;USD;4,981;4,9816
18082023;220;A;USD;4,9718;4,9724
21082023;220;A;USD;4,9841;4,9847
22082023;220;A;USD;4,9425;4,9431
23082023;220;A;USD;4,8971;4,8977
24082023;220;A;USD;4,8742;4,8748
25082023;220;A;USD;4,8766;4,8772
28082023;220;A;USD;4,8933;4,8938
29082023;220;A;USD;4,87;4,8706
30082023;220;A;USD;4,8647;4,8653
31082023;220;A;USD;4,9213;4,9219
1092023;220;A;USD;4,9312;4,9318
4092023;220;A;USD;4,917;4,9176
5092023;220;A;USD;4,9699;4,9705
6092023;220;A;USD;4,9756;4,9762
8092023;220;A;USD;4,9829;4,9835
11092023;220;A;USD;4,936;4,9366
12092023;220;A;USD;4,9499;4,9505
13092023;220;A;USD;4,9165;4,9171
14092023;220;A;USD;4,8745;4,8751
15092023;220;A;USD;4,8683;4,8689
18092023;220;A;USD;4,8529;4,8535
19092023;220;A;USD;4,8569;4,8575
20092023;220;A;USD;4,8481;4,8487
21092023;220;A;USD;4,9223;4,9229
22092023;220;A;USD;4,9125;4,9131
